epoch,training acc.,training loss,val. acc.,val. loss
1,0.2792,1.5266,0.3057,1.3887
2,0.3216,1.3617,0.3171,1.3497
3,0.3644,1.3145,0.3614,1.3146
4,0.4149,1.2369,0.3729,1.312
5,0.4695,1.1515,0.4557,1.2376
6,0.5363,1.0413,0.4629,1.1708
7,0.6032,0.9244,0.54,1.0716
8,0.6632,0.8093,0.6,0.9807
9,0.703,0.726,0.63,0.9355
10,0.7594,0.612,0.6057,1.0154
11,0.7884,0.535,0.6471,1.067
12,0.8171,0.4765,0.6929,0.917
13,0.8443,0.4111,0.6743,1.0721
14,0.8698,0.3532,0.6714,1.3744
15,0.8722,0.3399,0.7129,0.9568
16,0.8905,0.3135,0.7471,0.8678
17,0.9125,0.2516,0.7343,1.0253
18,0.9124,0.2575,0.7486,0.9208
19,0.9206,0.24,0.7786,0.8819
20,0.9284,0.2102,0.7971,0.8912
21,0.9406,0.1717,0.7971,0.9139
22,0.9414,0.1698,0.8157,0.8358
23,0.9319,0.2132,0.7843,1.0661
24,0.9533,0.1512,0.7886,1.0365
25,0.946,0.1688,0.7829,1.067
26,0.9544,0.1403,0.7771,1.0971
27,0.9606,0.132,0.7714,1.3758
28,0.9611,0.1319,0.81,0.8632
29,0.9641,0.1148,0.8029,1.1506
30,0.963,0.129,0.8186,0.8729
