epoch,training acc.,training loss,val. acc.,val. loss
1,0.2722,1.5659,0.2686,1.5217
2,0.3352,1.3615,0.3186,1.3981
3,0.3738,1.2995,0.3486,1.3542
4,0.4376,1.2143,0.4314,1.2523
5,0.4983,1.1193,0.4386,1.2039
6,0.5629,1.0034,0.5514,1.0743
7,0.6224,0.8946,0.58,1.0071
8,0.6833,0.7722,0.6214,0.9856
9,0.7162,0.684,0.6557,0.9295
10,0.7711,0.582,0.6457,0.9966
11,0.8059,0.4984,0.7071,0.9601
12,0.833,0.4411,0.6971,0.9808
13,0.8627,0.3712,0.7929,0.7042
14,0.8879,0.3193,0.7543,0.8244
15,0.8922,0.3095,0.7657,0.8545
16,0.9095,0.2603,0.7957,0.8222
17,0.9151,0.249,0.7629,0.903
18,0.9233,0.226,0.67,1.578
19,0.9244,0.219,0.7443,1.1745
20,0.9375,0.1787,0.7386,1.0745
21,0.9386,0.1857,0.6886,1.5135
22,0.9502,0.1516,0.8271,0.8185
23,0.9687,0.0983,0.8529,0.8445
24,0.9352,0.2075,0.7786,1.0206
25,0.9571,0.1441,0.8357,0.8103
26,0.9771,0.0764,0.7457,1.4849
27,0.9586,0.1242,0.8357,0.9595
28,0.969,0.0986,0.8314,0.9829
29,0.9692,0.1119,0.8186,0.9232
30,0.9783,0.0793,0.84,0.8088
