epoch,training acc.,training loss,val. acc.,val. loss
1,0.2881,1.5267,0.2871,1.3858
2,0.3267,1.366,0.3371,1.3459
3,0.3649,1.307,0.3643,1.3057
4,0.4294,1.2275,0.3714,1.311
5,0.4868,1.1374,0.4043,1.3653
6,0.5513,1.0196,0.4529,1.2722
7,0.6221,0.8975,0.4986,1.2537
8,0.671,0.7936,0.5214,1.2146
9,0.7273,0.6838,0.6429,0.9227
10,0.7705,0.5865,0.6343,0.9839
11,0.8054,0.4994,0.6771,0.8736
12,0.8313,0.4308,0.6814,0.9568
13,0.8565,0.3753,0.7257,0.9219
14,0.8644,0.3553,0.5171,2.2428
15,0.8808,0.3301,0.7771,0.7763
16,0.8914,0.2936,0.7286,0.7866
17,0.91,0.2519,0.7414,0.938
18,0.916,0.2347,0.7486,0.9009
19,0.9257,0.2178,0.7657,0.7479
20,0.9444,0.1719,0.7714,0.8531
21,0.9425,0.1695,0.7929,0.8634
22,0.9446,0.1521,0.7186,1.1529
23,0.9525,0.1327,0.73,1.166
24,0.9535,0.1483,0.79,0.877
25,0.9495,0.1474,0.7986,0.8295
26,0.9625,0.1138,0.8257,0.9352
27,0.9522,0.1429,0.8029,0.862
28,0.9735,0.0873,0.8,0.9713
29,0.966,0.1032,0.7729,1.0805
30,0.9725,0.0925,0.7771,0.9673
