epoch,training acc.,training loss,val. acc.,val. loss
1,0.283,1.5181,0.3057,1.3729
2,0.3149,1.3668,0.3343,1.3459
3,0.3629,1.3117,0.3886,1.2867
4,0.4263,1.231,0.4514,1.2022
5,0.5006,1.1271,0.4829,1.1311
6,0.5713,0.9935,0.5371,1.0852
7,0.6397,0.8551,0.5757,1.0237
8,0.7046,0.7227,0.6157,0.986
9,0.753,0.6167,0.6771,0.9098
10,0.7843,0.5453,0.6771,0.8674
11,0.8311,0.4531,0.7114,0.8167
12,0.8602,0.378,0.7086,0.8526
13,0.8673,0.3637,0.7214,0.8344
14,0.8848,0.3173,0.7657,0.7918
15,0.9008,0.2793,0.7486,0.9169
16,0.8992,0.2844,0.7543,0.8821
17,0.9122,0.2553,0.7357,0.9969
18,0.9229,0.2101,0.7929,0.8899
19,0.9279,0.2075,0.7829,0.9431
20,0.9306,0.2044,0.7986,0.9572
21,0.9449,0.1711,0.7814,0.974
22,0.9492,0.1542,0.7586,1.0797
23,0.9549,0.1457,0.8086,0.9686
24,0.9559,0.1394,0.7543,1.3028
25,0.9578,0.1317,0.7929,1.0997
26,0.954,0.1418,0.7857,1.022
27,0.9708,0.099,0.8257,0.8772
28,0.9621,0.1205,0.8129,0.9311
29,0.9643,0.1138,0.8371,0.9388
30,0.9729,0.0892,0.8371,0.9422
