epoch,training acc.,training loss,val. acc.,val. loss
1,0.2775,1.5434,0.2743,1.4661
2,0.3314,1.3484,0.3657,1.3679
3,0.3814,1.2774,0.3757,1.3327
4,0.445,1.192,0.425,1.252
5,0.514,1.0817,0.4614,1.188
6,0.5854,0.9563,0.4986,1.1828
7,0.6581,0.8235,0.5471,1.0955
8,0.7194,0.6952,0.5829,1.1329
9,0.7576,0.6077,0.5286,1.2837
10,0.8022,0.5187,0.6314,1.0489
11,0.8248,0.4521,0.6557,1.0519
12,0.85,0.393,0.6914,0.9973
13,0.8624,0.3546,0.7129,1.0088
14,0.8735,0.3297,0.7371,0.839
15,0.8927,0.2941,0.7157,1.0633
16,0.9071,0.2598,0.7614,0.8529
17,0.9294,0.2037,0.7357,1.0839
18,0.9295,0.2059,0.7871,1.0109
19,0.9332,0.1996,0.7986,0.8576
20,0.9333,0.1804,0.7843,0.9855
21,0.9387,0.1798,0.7629,1.0424
22,0.9552,0.1344,0.7986,1.0561
23,0.9441,0.1693,0.7243,1.5238
24,0.9524,0.1498,0.78,0.9444
25,0.9581,0.1347,0.8071,0.8162
26,0.9681,0.0963,0.8171,1.008
27,0.9508,0.1586,0.7986,0.8044
28,0.9594,0.1333,0.8529,0.6786
29,0.9752,0.0865,0.7229,1.3588
30,0.9651,0.1066,0.8286,0.8235
