epoch,training acc.,training loss,val. acc.,val. loss
1,0.281,1.5169,0.31,1.3659
2,0.3302,1.3616,0.3886,1.2973
3,0.3735,1.3121,0.3843,1.2826
4,0.4144,1.2455,0.42,1.2317
5,0.4917,1.1407,0.4771,1.1662
6,0.5584,1.0234,0.5186,1.0769
7,0.644,0.8788,0.56,1.0219
8,0.6989,0.7546,0.5843,1.0505
9,0.7389,0.6529,0.6471,0.9078
10,0.7884,0.564,0.6714,0.9187
11,0.8179,0.4856,0.6671,1.03
12,0.8305,0.4406,0.7386,0.7899
13,0.8708,0.3593,0.7314,0.8616
14,0.8789,0.341,0.7429,0.8327
15,0.8857,0.3158,0.7343,0.8867
16,0.9057,0.2623,0.7771,0.8333
17,0.9116,0.2485,0.78,0.8702
18,0.9163,0.2381,0.7686,0.8645
19,0.9194,0.2246,0.7457,1.0914
20,0.907,0.2648,0.76,0.879
21,0.9383,0.1787,0.8014,0.8154
22,0.9365,0.1867,0.8043,0.785
23,0.9251,0.2118,0.8,0.8527
24,0.9511,0.1414,0.7443,1.2371
25,0.9386,0.1773,0.7814,0.9791
26,0.9519,0.1431,0.7786,0.9476
27,0.9498,0.1473,0.8329,0.813
28,0.9498,0.1438,0.8,0.897
29,0.9687,0.092,0.8157,0.8757
30,0.9663,0.1052,0.8157,0.8491
