epoch,training acc.,training loss,val. acc.,val. loss
1,0.2786,1.5337,0.2943,1.3926
2,0.319,1.3723,0.29,1.3786
3,0.3648,1.3089,0.3629,1.2964
4,0.4343,1.2315,0.44,1.2241
5,0.4937,1.1265,0.4871,1.1655
6,0.5692,1.0046,0.5143,1.1415
7,0.6327,0.8806,0.6171,0.9927
8,0.6871,0.7582,0.6257,0.9606
9,0.7348,0.6565,0.6871,0.8481
10,0.7795,0.5664,0.7057,0.8042
11,0.8146,0.4835,0.6786,0.9105
12,0.8321,0.4309,0.7571,0.6705
13,0.8513,0.3894,0.7543,0.7247
14,0.8721,0.3546,0.7786,0.6347
15,0.8775,0.3267,0.7557,0.7028
16,0.8971,0.2791,0.7957,0.6137
17,0.9151,0.2448,0.7886,0.7929
18,0.909,0.2546,0.81,0.6058
19,0.924,0.2227,0.8271,0.5893
20,0.9338,0.1975,0.8486,0.5558
21,0.9329,0.2062,0.8329,0.6329
22,0.9421,0.1709,0.8586,0.5789
23,0.9483,0.1589,0.8414,0.5421
24,0.9448,0.1695,0.8271,0.6324
25,0.9579,0.1199,0.7971,0.8523
26,0.9551,0.1367,0.8429,0.5946
27,0.9586,0.1286,0.82,0.7577
28,0.9546,0.1394,0.81,0.8023
29,0.9671,0.1076,0.8271,0.7514
30,0.9687,0.0989,0.8429,0.7043
