epoch,training acc.,training loss,val. acc.,val. loss
1,0.4016,1.4889,0.5129,1.1353
2,0.634,0.8895,0.6643,0.8343
3,0.7995,0.544,0.7429,0.6806
4,0.884,0.3341,0.8071,0.5384
5,0.9316,0.2022,0.7614,0.8363
6,0.9397,0.1705,0.8286,0.5511
7,0.9549,0.1433,0.8471,0.5875
8,0.9665,0.1027,0.9143,0.2799
9,0.9692,0.0885,0.8329,0.5818
10,0.9679,0.1011,0.8529,0.5194
11,0.9632,0.1116,0.9014,0.3592
12,0.9873,0.0477,0.9129,0.2987
13,0.9786,0.0721,0.9171,0.3195
14,0.9813,0.0568,0.8614,0.4677
15,0.9741,0.081,0.88,0.4758
16,0.9883,0.0358,0.9357,0.264
17,0.9789,0.0675,0.8986,0.3019
18,0.9852,0.0453,0.94,0.2403
