epoch,training acc.,training loss,val. acc.,val. loss
1,0.3803,1.4936,0.4943,1.1689
2,0.5646,1.0302,0.62,0.918
3,0.7308,0.6763,0.7357,0.6718
4,0.8592,0.3917,0.8271,0.5113
5,0.9171,0.2254,0.86,0.4058
6,0.9495,0.1459,0.8971,0.3801
7,0.9519,0.1346,0.88,0.351
8,0.9633,0.1083,0.8914,0.3492
9,0.969,0.0955,0.8871,0.3914
10,0.9697,0.0855,0.9014,0.3368
11,0.9583,0.1099,0.9043,0.2908
12,0.9729,0.0718,0.9186,0.2627
13,0.9754,0.0719,0.85,0.4928
14,0.9713,0.0813,0.8829,0.3882
15,0.9805,0.0558,0.9114,0.3445
16,0.9871,0.039,0.8871,0.568
17,0.9775,0.0629,0.9143,0.3173
18,0.973,0.0802,0.8929,0.4222
