epoch,training acc.,training loss,val. acc.,val. loss
1,0.3394,1.5409,0.3986,1.2855
2,0.506,1.1231,0.5571,1.0547
3,0.6851,0.7788,0.7043,0.757
4,0.8367,0.4414,0.81,0.5582
5,0.8986,0.2718,0.8443,0.4563
6,0.9417,0.1848,0.8957,0.3609
7,0.947,0.1556,0.85,0.5169
8,0.9625,0.1125,0.9157,0.287
9,0.9781,0.0759,0.8857,0.4062
10,0.973,0.0838,0.87,0.4267
11,0.9676,0.0986,0.9243,0.2994
12,0.9776,0.0705,0.9157,0.3169
13,0.9641,0.1059,0.8871,0.4363
14,0.979,0.069,0.9271,0.2707
15,0.9921,0.0259,0.9429,0.223
16,0.9911,0.0239,0.9443,0.1928
17,0.9781,0.0629,0.8829,0.3962
18,0.9821,0.0574,0.9414,0.2327
