epoch,training acc.,training loss,val. acc.,val. loss
1,0.3778,1.5064,0.48,1.1775
2,0.5916,0.9755,0.6657,0.8051
3,0.7932,0.5504,0.7629,0.5701
4,0.8908,0.3041,0.7886,0.5966
5,0.9311,0.2037,0.8386,0.5503
6,0.9378,0.1802,0.8714,0.374
7,0.9587,0.1185,0.9186,0.2814
8,0.9659,0.1024,0.9029,0.3356
9,0.9616,0.1205,0.8714,0.3633
10,0.9744,0.0781,0.8971,0.3379
11,0.9724,0.0817,0.8514,0.4808
12,0.9716,0.0852,0.9114,0.2871
13,0.9721,0.0812,0.91,0.258
14,0.9806,0.0558,0.9014,0.3883
15,0.973,0.077,0.9114,0.3231
16,0.9843,0.0481,0.9014,0.2989
17,0.9749,0.0695,0.9286,0.2444
18,0.9914,0.0258,0.9414,0.177
