epoch,training acc.,training loss,val. acc.,val. loss
1,0.3183,1.5227,0.3186,1.3513
2,0.476,1.1751,0.5129,1.1138
3,0.6586,0.8552,0.66,0.9087
4,0.8081,0.5178,0.76,0.6524
5,0.8987,0.2942,0.8457,0.4684
6,0.9275,0.2132,0.8857,0.3946
7,0.9511,0.1496,0.87,0.4069
8,0.9689,0.0996,0.9029,0.3279
9,0.9735,0.0873,0.8757,0.3841
10,0.9635,0.1118,0.8971,0.3635
11,0.9702,0.0878,0.9114,0.3169
12,0.981,0.0594,0.9143,0.2774
13,0.9867,0.0489,0.8943,0.3068
14,0.9784,0.0666,0.9129,0.2665
15,0.983,0.0503,0.9071,0.315
16,0.9778,0.0703,0.9014,0.4226
17,0.9832,0.051,0.9414,0.2039
18,0.9802,0.0578,0.9429,0.1962
