epoch,training acc.,training loss,val. acc.,val. loss
1,0.3473,1.4712,0.4257,1.2689
2,0.5432,1.0643,0.5971,0.9935
3,0.7289,0.7037,0.7371,0.6642
4,0.8486,0.4102,0.7757,0.6035
5,0.9084,0.2664,0.8229,0.5377
6,0.9435,0.1797,0.8614,0.4441
7,0.9495,0.1511,0.8443,0.5237
8,0.9576,0.1218,0.8757,0.4016
9,0.9621,0.1099,0.8857,0.3197
10,0.9783,0.0733,0.8143,0.6297
11,0.9705,0.0989,0.9086,0.307
12,0.9744,0.0739,0.9086,0.3314
13,0.9797,0.0656,0.9014,0.3516
14,0.9684,0.0884,0.87,0.4512
15,0.9708,0.0883,0.9129,0.3135
16,0.9879,0.0412,0.9386,0.2482
17,0.9881,0.0404,0.9243,0.3174
18,0.9819,0.0549,0.9171,0.3624
