width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,keypoint_14_x,keypoint_14_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,quality
144,74,35.792645,76.607704,2.3337343,1.6627196,106.48313,90.10249,116.418015,90.10167,143.73099,92.51549,92.440315,121.63132,94.63237,147.24179,93.00968,172.71088,78.79466,193.82236,46.813488,114.59972,104.91084,188.1806,118.74369,207.07779,117.89514,152.19293,143.40973,148.14722,141.79938,205.39516,11.94669174,21.44824982,2.535199483,13.255432,11.5728,-59.836,11.0208435,50.721306,4.946468455,-3.805221558,2.36130778,2.119339766,0.6
115,50,54.04226,74.1261,84.10267,84.40019,113.90783,85.523834,126.262085,87.825615,149.6383,80.720245,82.42652,97.29063,103.03737,115.7158,102.894875,151.26898,85.62256,173.39758,54.760384,92.316124,116.03242,160.62967,129.22418,183.55333,127.059326,126.43095,147.99147,126.22472,148.3852,189.34024,12.55180142,20.38410187,3.41796875,10.155746,15.942657,-67.83753,0.7181244,3.248123169,3.855663159,-11.59538269,1.93329366,2.43330771,0.6
136,84,7.002843,23.600937,1.8586922,1.0222542,102.83825,23.309292,115.49918,19.804638,162.60208,21.713537,71.45018,58.3732,96.56468,60.806694,94.36032,95.83008,61.39401,133.59415,24.780054,47.9461,104.78961,120.40186,114.00181,137.91495,115.81333,74.533325,141.69379,79.34483,143.0412,144.77266,0.900705161,5.392053604,2.205930074,4.320801,11.178513,-77.10825,17.77721,68.24176,1.372510199,-23.69226074,26.9794515,8.305552428,0.6
156,122,6.966993,72.43169,0.504614,0.65379006,104.746185,66.92786,132.20932,74.11824,177.36127,96.9976,76.13503,114.331665,97.4902,108.649574,101.0715,125.965576,66.58553,177.42316,26.490728,94.852875,117.05859,130.30914,132.6489,150.99794,136.27141,110.51279,179.65698,145.03139,172.80077,199.50476,2.89408917,38.75749969,5.123072306,-26.425217,22.081604,-42.348366,19.523735,76.289764,2.307633025,-47.45097351,7.611139933,2.874982307,0.6
129,80,8.102114,51.974632,0.9450197,1.1472715,102.49024,53.63006,117.24761,57.404854,159.51457,64.39671,67.58011,82.15667,94.19054,86.70093,89.63605,125.26913,65.90803,153.96211,22.812103,55.945965,106.77522,132.76544,121.62416,144.20978,119.621,99.80291,163.54483,112.83528,169.94699,173.17119,3.891085298,16.19687653,4.499961853,-9.752335,19.209076,-57.50885,14.70999,69.878525,6.224719498,-19.66053009,11.22304789,2.592100775,0.6
99,61,68.65283,54.08905,2.4297316,2.0362294,97.88574,59.10322,110.179276,63.885246,134.51657,63.919327,86.53804,98.779816,97.05366,107.0424,98.72951,125.417145,86.21465,139.4988,67.41733,74.127625,109.48706,134.3305,122.087036,141.20973,116.211296,102.53734,137.75354,110.192474,144.59172,166.00467,18.48756044,14.61230087,11.95985667,1.7109375,26.505875,-34.167336,1.2355042,35.787064,1.461734243,-44.02874756,11.2755483,3.118158433,0.6
192,120,22.213928,80.29887,59.79107,70.74914,93.2546,74.74646,102.14216,71.2237,130.2005,78.48649,62.765102,90.44508,82.01422,107.1987,83.68744,144.20715,66.907455,154.26492,25.248377,97.108986,97.59632,148.25139,112.59918,186.19316,109.41563,125.14588,132.41783,137.50398,137.57639,194.25304,0.727980062,17.16698303,11.82033285,31.928238,39.988113,-78.99446,3.0344486,7.505825043,11.15861149,-2.851127625,8.356297811,1.551442421,0.6
60,38,31.91684,13.118542,2.4299147,1.4001677,98.437065,28.29638,120.505264,29.213852,138.25705,56.44577,58.06148,48.67683,79.66783,69.44325,68.55733,101.091644,40.39437,106.54464,17.20123,36.98488,86.848404,120.419235,102.46646,139.6134,110.926895,88.829796,132.05585,99.45675,122.164345,155.06744,3.573199302,49.35426712,18.41144816,33.068764,48.522804,-70.17015,14.7156105,69.69972,-1.72023715,-13.11974335,17.32280731,0.012247665,0.6
111,69,24.09142,48.745975,79.01756,52.161552,111.67668,49.08442,132.01477,51.341278,172.04146,53.821342,77.8328,59.786396,100.18262,76.30051,102.8869,102.413666,72.95881,136.12419,20.179857,57.35909,113.63126,110.79281,128.05643,124.96648,127.90138,86.277985,167.64294,110.83215,167.8345,158.10818,2.856055871,8.462863922,5.381159465,-11.157715,21.983994,-48.66597,3.911562,7.288497925,10.55397145,-33.14428711,5.73697408,0.767382699,0.6
83,52,43.706196,83.88601,99.20828,64.29258,125.627045,68.69304,133.65034,66.89166,170.32832,67.40328,101.57325,82.00763,111.726,113.627304,103.50583,140.89758,79.104996,154.43872,56.610497,82.67465,121.12567,143.81699,127.61164,192.85243,130.99219,116.236946,169.48056,124.010796,168.61021,181.15721,13.25137596,27.30540314,6.279497782,38.41371,26.71849,-79.22513,12.904301,28.38102468,-0.59201768,-7.481704712,1.725626628,1.879409545,0.6
67,62,24.850723,49.1299,0.9108008,0.8560148,128.91388,53.918495,152.75534,55.574974,196.48802,56.52984,91.902725,95.91798,114.95828,117.857704,109.99516,157.14767,73.94735,181.8335,27.719992,92.3884,127.62041,163.2485,144.48238,194.27621,151.34096,119.3468,191.79912,122.90991,189.32506,198.58502,0.778739445,9.316791534,10.08769735,12.4427185,16.751526,-76.41851,2.8692684,86.49286,4.248790668,-31.08512878,7.901240031,0.526789363,0.6
95,59,18.6375,68.1407,2.91041,1.9194982,119.55207,62.208626,143.21396,60.692318,31.443567,9.305539,95.80313,106.20484,120.3074,128.19084,116.367775,157.96944,82.50693,190.18512,25.259865,130.71016,132.5784,159.23087,147.50832,198.07658,151.63785,129.94064,193.71046,127.41644,194.18478,203.58308,1.573786025,81.56250668,8.478825887,7.891464,13.3979645,-69.88574,6.622364,84.92421,14.11147005,-75.30244446,216.6720791,38.16165748,0.6
