width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,quality
180,108,66.68667,47.29982,117.44621,45.803944,143.69632,37.93341,174.87497,33.099735,112.55359,68.885666,129.81227,78.32312,85.0731,100.94604,125.15384,96.5684,164.26282,62.6728,142.63542,111.60856,178.20149,124.030876,132.49963,5.3534536,82.51249,9.105694,57.43365,3.6918914,22.07061767578125,4.37764,33.8956,-0.4833107,12.4223175,35.56607,35.680771827697754,31.928531646728516,37.342334032058716,-593,9.437454,0.6
62,39,67.98658,71.854034,103.817406,65.64631,130.20361,62.079212,151.28308,62.019943,103.81947,84.565,124.19877,94.761185,74.21652,178.39252,105.55674,140.05048,150.84494,110.86097,128.3309,165.4026,178.91212,182.06425,131.18422,7.0375795,52.41562,9.092149,7.9568167,2.7499957,13.401187896728516,38.34204,29.189507,-0.88128597,16.661652,50.581223,58.36229228973389,56.30772304534912,62.6498761177063,410,10.196182,0.6
169,105,33.32518,83.91399,86.643234,83.59659,113.50962,83.70102,142.67007,91.60049,77.88876,104.19067,106.320755,121.688286,49.52804,135.35739,103.24029,154.49443,136.12852,136.88208,107.49872,195.97687,141.70332,209.7159,84.657616,23.212414,33.82546,31.990726,13.848467,8.461054,11.794929504394531,-19.13704,17.61235,0.017606009,13.739029,34.204605,62.490604400634766,53.7122917175293,77.24196434020996,-787,17.49762,0.6
150,93,78.47223,105.513016,1.4325577,1.545227,119.081566,90.757935,202.73317,74.36983,103.95142,148.48608,134.29779,124.65523,94.20327,214.34612,133.47105,168.5514,189.64868,101.74436,141.48247,204.4062,161.78598,217.74904,136.6164,41.252064,77.51079,49.476448,71.69937,23.524471,31.687530517578125,45.79471,66.807045,-1.1797503,13.342834,20.303513,48.96152877807617,40.737144470214844,66.68912124633789,-25,23.830856,0.6
126,79,47.827152,60.817665,2.3405232,1.6432431,151.54071,58.056404,199.87367,47.32361,89.11829,100.5104,114.5372,100.04364,54.969406,95.592285,121.18469,123.266815,150.92656,85.94326,137.44008,138.55379,154.04271,161.07861,129.94676,13.538311,88.086845,24.409657,78.23428,13.2356205,16.15123494466146,-27.67453,37.323555,-0.100555554,22.524826,16.60263,41.860914866129555,30.989569346110024,42.163605372111,-1647,0.46675873,0.6
66,41,32.497433,76.7851,79.08073,81.35681,144.7925,84.71313,163.25453,82.15334,93.84849,126.936485,123.55345,137.45908,69.737274,185.86726,120.54677,172.82883,169.71542,122.28795,150.75793,196.74005,180.11745,196.74535,140.21948,28.452564,78.30334,29.554312,58.212368,3.9684098,8.933982849121094,13.038437,50.54088,-0.6359321,0.0052948,29.359512,52.79953384399414,51.69778633117676,77.28368830680847,-963,10.522591,0.6
121,61,22.999264,41.64644,75.05262,46.423252,110.50371,39.647995,188.53522,41.035564,76.42298,89.24851,98.40109,101.293884,49.38934,107.81955,87.654366,127.882164,123.38725,84.23354,112.768684,126.07441,130.58105,142.30904,103.26494,7.970805,4.3717337,3.649144,4.5362887,2.1969125,8.469879150390625,-20.062614,43.64862,-0.31873882,16.234627,17.81237,34.21750736236572,38.5391685962677,39.99140000343323,-1193,12.045372,0.6
74,44,75.27674,41.890724,121.99466,45.93555,136.84514,38.69005,158.97574,36.79258,109.47302,67.3911,126.09807,90.986916,76.42638,105.869156,113.10327,115.04146,154.60236,78.998795,142.94048,130.73637,153.67624,140.237,146.89302,9.510214,11.690939,4.015691,103.58297,3.9070725,12.343647003173828,-9.172302,36.042664,-0.34371632,9.500626,10.735764,31.3170108795166,36.81153392791748,36.92015218734741,-851,23.595818,0.6
172,128,12.201138,60.624046,1.7915745,1.4597503,95.10675,54.126892,119.61981,55.533134,58.344124,84.12086,91.15426,83.01515,57.146072,126.47241,96.47726,97.08758,119.99244,83.59027,113.35944,107.799355,132.01279,128.42072,84.89794,23.440163,32.666668,29.934153,18.46765,16.659512,7.725377400716148,29.384834,13.497307,-0.6823329,20.62136,18.653343,33.32119496663412,26.82720502217611,40.101846059163414,80,1.1057053,0.6
123,84,85.28949,69.99173,114.82909,71.05001,148.37238,66.05754,171.025,62.16662,115.98982,89.60565,132.76938,95.101326,99.8315,123.18779,133.37387,111.61423,164.8606,87.91896,157.76913,136.37022,186.64554,152.8716,141.78363,20.768223,98.3803,29.052948,82.94074,12.596744,12.817581176757812,11.573563,23.695267,-0.5423546,16.501373,28.876404,46.54825210571289,38.263526916503906,54.71973133087158,-215,5.495674,0.6
110,72,69.73396,127.32118,108.57666,129.37233,121.57848,123.70127,134.2855,124.223526,109.70875,140.9477,122.864044,151.15312,80.59121,173.5873,105.7472,181.14664,135.2904,158.97897,113.12523,198.79816,120.69549,210.94307,125.16915,79.693306,91.461685,89.56894,85.845024,44.85821,8.768714904785156,-7.5593414,22.167664,-0.26706648,12.144913,7.570259,46.461265563964844,36.58563232421875,81.29636001586914,-390,10.205429,0.6
52,39,35.145874,87.55083,99.49537,86.304085,150.63655,84.95372,160.63713,83.52312,95.41808,102.835815,133.0759,118.50859,105.159256,170.82745,114.55832,163.48698,156.25052,135.19563,137.09586,175.20293,140.2645,202.4286,135.57307,12.894951,69.69743,33.78967,48.973404,3.3405647,5.378074645996094,7.3404694,28.291351,-0.6974152,27.225677,3.1686401,72.68799591064453,51.793277740478516,82.24238204956055,20,15.672775,0.6
82,62,46.61833,70.10999,83.68814,70.34483,124.25748,67.3163,143.12958,71.74658,76.385376,96.185104,94.06835,92.16806,49.522255,98.29547,95.46131,105.87716,120.5232,92.845215,105.259445,138.70163,108.85199,175.14984,110.1462,32.23493,73.088326,29.88242,64.61661,4.7344623,5.126258850097656,-7.581688,13.031944,-0.07676315,36.44821,3.5925446,37.64449691772461,39.997005462646484,65.14496278762817,-394,4.017044,0.6
92,68,0.63763136,0.5185103,0.10347914,6.7704796e-06,0.7980225,0.22596818,0.6978419,0.06516045,0.62680477,0.13635851,1.6139469,0.35593927,0.632492,0.518292,0.8639916,0.43650544,0.9546276,0.28340238,1.0101979,0.10762874,0.82372373,0.78246284,0.557376,0.041957665,0.2824582,0.20503312,0.1413658,0.0013565144,0.49726128578186035,0.08178657,0.15310305,-0.7291639,0.6748341,-0.18647414,0.227921973913908,0.06484651565551758,0.26852312474511564,0,0.21958075,0.6
