width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,quality
113,45,34.913414,81.172966,93.72672,89.32056,124.21889,83.6441,154.48422,83.406105,86.04901,161.45474,116.06613,137.67815,102.09655,191.88652,86.33952,215.6418,68.579056,188.87349,56.382565,143.71346,122.26387,37.015026,70.93967,54.177532,64.84621,7.3895864,9.869255065917969,7.6777115,0.3387068859477118,12.196491,21.46915,17.741287,89.53592,0.6
68,53,44.160755,80.9691,119.49788,100.457535,121.93573,88.7753,184.68251,96.35369,122.43642,157.5265,166.9446,140.68298,157.35815,184.9124,123.01948,211.95792,76.60761,184.66847,55.43757,120.97139,128.44272,56.5712,69.07823,32.55618,55.583252,26.038013,27.06682586669922,2.9385376,0.049785293242621265,21.170044,11.2768135,36.555115,88.41521,0.6
136,86,9.187691,29.105774,76.50692,21.874249,88.68014,19.2953,127.46403,15.72109,71.54788,87.9485,119.58494,74.695015,122.89889,132.86519,88.713715,165.05188,39.5715,120.88083,30.542912,56.89849,5.5710497,1.2604309,2.8040168,1.2516398,4.808579,1.2774345,15.963632583618164,4.959038,0.1611704762493983,9.028587,21.35522,31.05001,55.64685,0.6
74,64,32.836815,58.04542,89.25758,59.030502,116.51392,54.671078,146.88232,55.348373,88.317276,99.754295,113.15609,78.201904,113.041534,109.204185,93.40337,129.00557,66.030716,104.28453,56.93195,78.66281,117.44577,17.013134,61.759026,37.4764,42.58101,16.389366,7.0564727783203125,0.9403076,0.37199164289957554,9.098766,24.095135,21.091484,41.186413,0.6
126,92,96.46672,62.181755,144.61238,63.606422,156.13016,53.191505,177.54028,63.783276,146.46742,105.28455,169.52295,91.48175,166.40846,121.572205,150.39061,134.21075,132.3392,113.68157,121.58711,82.35671,136.32893,33.673683,131.57843,27.461716,122.87779,14.539336,14.998470306396484,1.8550415,0.4291851655957939,10.75209,25.120392,22.927841,54.894997,0.6
184,108,37.26362,108.33372,93.6353,113.72944,114.632355,109.05549,146.70627,112.13107,89.09548,148.69197,100.48667,174.00902,80.14621,194.2004,60.11372,205.05533,35.617756,190.55382,24.75787,155.60738,128.95767,75.241165,71.25664,69.894455,64.82878,43.27113,8.471305847167969,4.539818,0.44371793677848603,10.859886,-12.505749,-6.9154053,85.71292,0.6
132,74,63.50644,60.14332,109.897224,66.16315,125.48492,58.290077,149.62706,64.45215,113.45695,116.20209,131.79747,107.159485,134.5579,142.7706,114.37264,162.19194,89.148796,130.9673,86.72148,97.30347,120.33872,30.745182,76.33867,25.587334,68.42758,17.55211,12.181900024414062,3.559723,0.09057660097416309,2.4273148,23.215042,18.89862,71.71613,0.6
120,75,53.86577,36.51532,113.458435,52.00044,109.925705,48.846806,162.86916,49.4062,107.501816,102.976135,129.26352,103.52145,111.12686,120.96636,88.38659,132.66553,62.240215,108.40125,62.43783,72.79689,103.89851,10.227226,53.50065,13.731946,34.7411,5.3953075,20.353740692138672,5.9566193,0.45345199961572535,-0.19761658,8.572063,30.179245,59.064945,0.6
170,105,45.32737,48.843018,91.11113,56.664566,82.79303,51.090282,157.1087,54.360245,93.85421,127.212166,121.4235,104.98066,131.26772,154.82643,119.665146,185.608,77.77217,141.34036,51.100315,83.81543,5.926761,3.6667216,2.7773087,2.5294993,2.9892051,1.0987343,11.091510772705078,2.7430801,0.10580459607249493,26.671856,5.7729454,43.396736,81.28593,0.6
150,93,70.10411,67.8748,114.59912,64.57187,97.78393,62.946655,160.27786,57.43261,113.67422,110.04267,141.11818,107.7785,159.85263,164.35916,142.13655,192.78027,96.16396,142.82281,73.673386,67.841034,7.6024857,4.277065,6.5303397,3.7255514,6.9011545,1.9688146,12.067405700683594,0.92490387,0.4802046484029717,22.490578,3.569275,42.201637,64.115486,0.6
62,39,43.912502,50.63961,124.231346,52.274265,134.18684,50.822033,183.3282,50.76929,125.761665,128.37257,154.3347,123.84696,147.03471,163.66887,121.57353,181.3866,83.706726,141.56168,68.87518,61.80626,140.38103,23.810938,134.35683,12.651616,131.45317,6.357865,2.2959327697753906,1.5303192,0.43126826245167194,14.831543,24.96268,66.566315,49.154644,0.6
