width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,keypoint_14_x,keypoint_14_y,keypoint_15_x,keypoint_15_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,quality
84,66,89.63938,60.999428,159.50528,61.681824,157.12332,50.105587,195.46188,51.571865,146.4528,101.34563,173.77173,97.19862,173.42172,131.92545,142.7588,155.1563,112.67585,109.2702,108.63264,78.30455,115.38666,11.799372,39.022816,7.3284955,61.43101,4.4969354,109.51621,119.9513,100.70017,112.43337,89.22828,78.906815,21.003799438476562,13.052475,0.22583741592676787,4.043213,18.993256,23.041077,70.97605,11.471893,8.81604,0.6
86,46,50.151066,52.306686,99.42773,49.812294,110.86307,44.316578,124.05617,44.734016,104.480576,92.436554,124.23478,82.032265,123.96485,128.99818,101.88264,154.12105,69.764694,124.433716,64.139755,67.36318,101.831436,8.676703,60.220203,13.3295,40.321632,6.2272444,75.59586,134.70737,53.982193,124.08356,50.781876,81.493286,13.06838607788086,5.052849,0.30477358229357265,5.624939,13.988689,25.073372,54.033684,3.2003174,21.61367,0.6
129,93,104.30582,96.04975,132.63048,95.776855,130.08636,95.16285,163.6425,92.87573,136.3971,138.23198,160.67276,129.09526,172.31288,164.25812,148.09032,186.08723,121.28774,158.18217,108.52406,119.409164,128.43365,37.19427,74.1098,33.972137,59.065056,26.552515,117.13662,155.04765,97.92042,144.3599,86.30122,118.430405,4.1811370849609375,3.7666168,0.13481186707275095,12.7636795,4.2182465,18.822815,85.43703,11.619194,19.216202,0.6
168,120,69.547165,93.66547,118.94451,93.7202,141.76855,88.60071,169.51807,83.32344,121.03793,146.91646,151.33734,128.15852,151.55983,166.63394,125.49834,203.82652,96.95785,165.25731,92.21305,111.28353,113.13932,40.592167,73.41416,39.855663,62.04915,22.680485,104.7269,183.69826,74.4854,159.02168,66.14668,116.113174,15.461517333984375,2.093422,0.06739399194060736,4.7447968,22.665886,35.632927,71.42787,8.338715,30.2415,0.6
140,87,32.384426,60.041313,85.727005,57.9635,92.18055,50.751923,119.40966,53.161076,94.22506,129.04996,114.29641,100.312454,115.19457,140.25029,87.25683,174.2072,52.54241,139.15645,49.57422,82.624725,22.997355,4.951186,23.21068,8.9843645,26.197697,4.3988047,63.09404,145.98907,32.407814,117.95087,24.385143,90.37023,14.091815948486328,8.4980545,0.5668618963297978,2.968193,17.189793,46.425232,73.64036,8.022671,30.686226,0.6
164,102,34.726173,51.933018,97.703064,56.10539,105.529755,57.613033,161.65388,62.34742,96.47304,132.53325,122.42659,109.42684,147.7302,158.38504,111.20495,196.36304,75.55623,156.78792,57.640553,97.28134,4.534788,1.2771128,3.8203478,2.0992012,4.3387527,1.3902748,70.0749,147.59468,36.856182,121.82543,21.090996,84.47959,11.922046661376953,1.2300262,0.1668497639465889,17.915676,22.91438,35.251907,95.182144,15.765186,33.218716,0.6
58,36,30.88076,66.88421,103.84373,71.79317,130.26274,71.62105,172.34462,73.32078,88.61932,139.32959,118.49625,126.83171,121.65583,187.8962,87.844795,217.02457,54.78046,141.40001,59.63228,71.83507,3.8596861,2.7987049,57.929382,14.046179,35.594025,3.7526164,50.924118,195.81305,30.23112,172.5623,17.11074,132.88153,8.041183471679688,15.224403,0.1089809938299795,-4.851818,28.751518,67.49452,57.788887,13.1203785,20.692999,0.6
60,38,70.693985,102.74449,127.370125,100.2518,123.76837,97.720665,129.72452,101.9618,105.187584,137.60768,124.163345,151.36449,110.59609,158.1623,100.854095,157.76884,79.496216,139.3993,79.75953,92.75705,116.404785,47.067253,63.589287,29.371319,56.387386,6.6208334,74.64029,138.82054,40.944874,149.44891,26.424934,105.31372,6.73382568359375,22.18254,1.1068013459301125,-0.2633133,9.065544,44.85063,63.38573,14.519939,33.695415,0.6
59,37,70.72356,66.608925,125.65576,65.5709,127.43408,64.64705,136.75108,65.61966,124.072464,127.54866,146.9219,131.6004,140.56197,162.25255,124.65092,179.77495,87.92545,142.33414,70.875824,90.13571,101.27942,22.330156,57.687096,27.344324,35.27266,8.335802,100.467445,164.28291,57.625217,136.94812,45.38417,82.5262,2.0106353759765625,1.5832977,0.18703014802835005,17.04963,0.15226746,37.41295,62.79139,12.241047,42.842228,0.6
54,39,52.16069,84.15436,108.621796,82.23668,113.36075,87.19507,123.38869,85.031685,111.39083,148.23418,135.122,152.51234,125.734505,177.03171,102.23761,189.02032,68.7753,155.8242,50.247334,103.19295,87.40673,38.50041,34.174927,42.598587,28.638876,12.031214,77.057045,178.50969,35.990925,155.4386,22.628021,101.71275,5.835716247558594,2.7690353,0.580253384674577,18.527966,-1.9133568,45.04123,60.59436,13.362904,41.06612,0.6
76,56,54.923126,71.76925,129.02582,80.0846,142.2619,82.819244,198.74072,78.08027,129.16357,136.37112,171.18335,126.61276,157.37363,173.82864,116.89273,206.845,78.07834,172.92163,60.46318,126.560776,138.11154,16.503914,23.582603,18.999598,21.589764,18.797474,73.89446,171.54808,44.46602,160.47658,29.065845,137.15392,13.054328918457031,0.13775635,0.2131498627896794,17.615158,5.5400543,9.8103485,107.56118,15.400173,29.428444,0.6
138,69,140.5889,52.74179,179.62955,53.05434,176.62932,51.55166,195.95529,48.688877,179.10623,119.80102,192.0739,110.0697,190.27292,154.28925,164.86194,174.26114,147.70871,107.38463,149.6938,58.95574,5.0977135,1.7891636,2.5603123,2.4829793,3.480339,1.8127161,144.74689,141.43489,137.23111,111.17013,132.09653,78.45497,5.640586853027344,0.5233154,0.18575574883003432,-1.9850922,9.104904,60.845276,56.472763,5.1345825,7.5157776,0.6
