width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,quality
188,96,104.56969,69.33817,125.44047,34.7052,127.634,99.40378,112.24998,168.23671,102.6332,146.88237,36.573795,190.51015,30.4077,106.50854,20.87078,30.065605,15.384026,21.35434,43.627777,-62.03453318277994,0.6
156,105,88.979996,65.54126,93.29987,44.72459,104.98604,98.88875,95.20787,159.64378,85.8102,122.2705,44.18251,111.716644,37.904144,64.08709,4.3198776,33.34749,9.778168,37.373283,-10.553856,-67.12321726481119,0.6
80,42,118.98359,71.101425,131.78052,26.34675,137.38339,92.71217,134.78456,171.14706,122.25499,130.17183,80.813965,161.60123,71.501686,119.73354,12.796928,21.610748,2.5988312,40.975235,31.429398,-34.57316843668619,0.6
183,114,12.399368,9.272012,149.00223,46.673164,172.12225,120.82877,154.7386,199.89526,143.55038,171.4678,123.58168,202.22249,113.56479,138.32303,136.60286,111.55676,17.383652,28.42746,30.754684,-52.872161865234375,0.6
69,43,86.24571,70.94036,97.62448,48.722157,103.20329,108.12402,110.29622,163.39154,86.98393,158.3939,41.464996,188.49646,14.990486,97.20427,11.378769,37.183662,7.092926,4.997635,30.102554,-72.88970438639322,0.6
98,61,110.37517,82.55844,119.94339,41.35157,163.269,112.22302,149.0107,159.75824,122.733795,166.32909,14.992259,0.18742919,72.32807,37.57238,9.568222,29.664581,14.258301,-6.5708466,-166.14166,-71.18588002522786,0.6
45,28,113.65059,100.71241,145.23952,20.879032,154.91489,105.79945,153.39932,211.81361,119.468765,117.73363,69.48033,158.09258,32.046944,114.37768,31.588928,5.087044,1.515564,94.07999,40.358948,-48.16893259684244,0.6
50,31,95.54827,67.21838,112.59224,43.305523,133.20406,125.50146,131.34355,201.16641,110.90963,164.37402,62.618362,194.92671,46.168575,159.54175,17.043968,58.283073,1.8605042,36.79239,30.552689,-27.2806396484375,0.6
53,48,98.19046,79.845184,139.92906,45.346176,160.9939,123.091805,146.35968,204.99548,133.69981,173.38748,66.87547,177.83829,55.74784,67.88302,41.7386,43.24662,14.634216,31.608002,4.4508057,-117.52406565348306,0.6
55,35,84.24115,54.30814,92.82436,25.801199,120.273796,87.786354,110.74694,116.614395,6.8177323,5.5101094,7.0541544,1.8867216,15.675381,120.01913,8.583214,33.478214,9.526855,111.10429,-3.6233878,78.68205261230469,0.6
60,46,106.7922,52.285015,140.39087,16.55218,148.83253,89.42416,153.42867,195.85672,124.78883,150.97409,65.86079,187.30635,20.955505,119.152565,33.59867,37.13914,4.5961304,44.88263,36.33226,-58.893150329589844,0.6
135,87,95.66208,63.796906,109.39491,39.65812,117.99542,86.76688,112.424965,129.69427,98.23759,103.0864,58.08127,131.1678,44.499012,85.7527,13.732834,22.96997,5.5704575,26.607872,28.081398,-35.56346130371094,0.6
31,27,93.93845,102.51198,152.45944,18.732681,159.4642,119.157974,146.93764,217.91675,108.47165,182.4997,40.30699,214.11465,15.4809,165.34836,58.52099,16.645996,12.526566,35.417053,31.61496,-39.49535115559897,0.6
181,113,128.49776,110.69111,151.05164,47.13,168.1793,125.32068,156.08302,209.80377,143.23268,164.64001,107.39424,191.84787,90.06162,156.11108,22.553879,14.62957,12.096283,45.163757,27.207855,-32.65279134114584,0.6
43,69,89.5853,94.26424,140.58357,62.832645,157.36246,127.82719,151.02608,203.77347,112.97095,162.70296,44.521854,185.36438,12.166239,118.4946,50.998276,33.56295,6.33638,41.07051,22.661423,-65.45234171549478,0.6
107,45,72.18715,96.81274,81.424835,57.973007,86.029236,151.6063,77.4803,216.36304,67.882416,206.88397,7.429615,197.35068,2.5117314,3.4624865,9.237686,54.793556,8.548935,9.479065,-9.533295,-203.40339891115823,0.6
156,117,6.287501,5.8842235,108.46014,38.2659,135.99982,99.53539,130.0308,157.75569,109.80034,136.05618,75.65304,168.62236,50.368694,145.30931,102.17264,93.65117,5.9690094,21.699509,32.566177,-8.83544413248697,0.6
138,87,145.34709,32.864277,161.68617,15.777931,163.29092,69.5447,166.43842,133.16716,149.80496,112.41459,116.82437,123.84782,101.25594,79.12383,16.33908,36.680424,3.1474915,20.752571,11.433228,-44.01935577392578,0.6
