width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,quality
132,64,112.74199,107.58042,133.9126,88.025925,137.96416,135.91922,138.1381,186.12282,110.467964,137.63766,88.43995,157.84038,79.84004,141.86972,161.63663,80.66515,149.12724,55.064644,0.90350074,0.4705316,126.28496,22.948149,21.170609,28.338799,0.1739502,48.485153,20.202713,-18.663909912109375,55.254066,133.0091,0.6
49,31,93.86639,107.56793,110.10745,25.252708,105.23149,140.31389,98.18264,213.86249,70.12928,139.5176,36.48741,167.35257,7.677327,139.89413,159.40782,88.14908,139.9956,13.308479,1.3562226,0.4831901,16.313656,0.1336603,16.241066,32.745956,7.048851,74.344894,27.834976,-33.68342081705728,52.164818,108.75123,0.6
63,40,120.16311,75.03202,138.11163,52.4393,151.67368,89.24737,160.15445,180.08743,135.70757,164.77135,97.19279,180.40733,85.75085,143.92422,163.1685,40.103306,135.06068,14.508677,0.49802488,0.33951285,94.870316,1.1462836,17.948524,14.215347,8.480774,15.316086,15.635986,-31.164479573567718,49.144066,137.6136,0.6
53,40,91.97035,95.6813,123.955765,92.5438,133.98187,113.31695,142.15706,209.62898,111.6488,189.42793,75.50872,209.4302,57.135548,169.35248,148.93243,66.205795,103.92212,36.71207,69.819855,14.625517,81.77351,12.161798,31.985413,17.63565,8.175186,20.20105,20.002274,-33.4765625,47.111153,54.13591,0.6
54,34,115.27748,76.093864,131.65236,65.43791,132.28294,90.41743,138.66951,153.09003,117.075134,146.00668,46.3576,172.42365,21.946835,161.98021,150.34142,47.461628,120.93916,12.302086,1.7402198,1.2416785,87.98234,6.2418203,16.374878,14.323563,6.386566,7.0833435,26.416962,4.80675760904947,42.955803,129.91214,0.6
59,28,57.69989,45.598022,74.3781,30.699814,98.22228,126.796814,91.2453,211.56285,61.51737,161.05284,27.468945,193.86618,6.572258,159.86525,141.6324,86.39406,139.51234,46.938187,1.5281649,1.179391,136.20052,8.2117405,16.678207,81.19879,6.976982,50.51001,32.81334,-28.96204121907553,40.402756,72.84993,0.6
94,76,139.35976,70.28347,150.47144,57.522934,152.88945,84.39783,153.06494,106.334785,144.14935,99.23093,124.25039,117.11186,102.7357,88.47601,181.47978,52.599323,151.11975,29.475864,3.0897026,1.9165286,143.08913,15.360253,11.111679,14.114357,0.17549133,7.103859,17.880936,-19.08317057291667,31.798504,147.38173,0.6
110,69,99.54106,117.99188,109.076454,79.90156,145.38332,150.37271,148.30045,200.02531,100.13105,193.7971,33.919098,148.30687,50.573456,83.986275,182.16737,97.757416,139.33337,41.413914,1.9544721,0.6862611,106.04617,0.8953362,9.535393,32.38083,2.9171295,6.2282104,-45.490234,-96.72348276774088,52.61531,107.12198,0.6
112,70,127.47204,95.269585,139.98724,78.709946,151.45987,129.80392,146.14592,171.8567,131.54213,146.30388,90.97643,170.99776,80.08262,99.300186,175.53963,72.36303,129.35358,36.94594,101.83938,47.099777,81.4729,20.110617,12.515205,34.53434,5.3139496,25.552826,24.693878,-63.752588907877595,57.440895,38.147865,0.6
70,43,117.996826,86.62315,131.19417,72.19372,134.54974,121.172935,145.05724,181.4315,116.99137,165.50772,62.636166,192.04953,32.506874,75.250084,158.33089,57.567017,116.965866,17.069145,1.6512045,0.8525942,42.027756,3.6640308,13.197342,34.54978,10.507492,15.923782,26.54181,-104.4128392537435,63.60592,129.54297,0.6
