width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,feature_0,feature_1,feature_2,feature_3,feature_4,quality
55,48,66.118965,60.012768,87.11273,30.843412,125.08972,46.539234,127.63638,97.34964,1.1086987,0.58626574,164.56798,158.19273,110.441986,206.08115,37.535145,159.0601,15.104246,81.784355,20.993767,-13.473534,50.94094,36.931595,0.28066618666618903,0.6
138,92,89.79334,95.67404,95.19531,77.14301,113.45265,90.09491,100.51159,130.07108,1.5324639,1.5607629,114.27715,170.03127,89.9836,193.80577,68.5271,167.96352,58.870148,126.86966,5.40197,-5.579132,49.726646,13.765564,0.5243504176694183,0.6
104,65,100.65155,40.34585,105.59897,34.92164,120.02502,60.752045,107.26434,86.61818,2.3633375,2.0418165,123.09765,121.02285,108.19765,135.32748,80.603294,105.58463,72.94552,53.872604,4.947418,20.406193,18.950966,15.833305,0.8609834043942084,0.6
94,51,67.47874,154.15958,67.54578,121.91453,118.74931,114.04535,93.29759,183.44987,110.61729,187.33925,5.8263183,10.07743,5.662639,2.9898744,57.766296,190.07967,35.13731,135.45618,0.06703949,-40.114227,13.541649,-87.471275,0.3032631676833075,0.6
105,72,106.0749,67.90674,114.438705,55.26755,126.33492,78.152145,125.58536,109.69879,118.70192,111.94408,125.67821,145.38193,105.09055,175.8807,76.120964,152.35718,63.33237,119.48592,8.363808,10.245407,64.21837,0.09284973,0.3554805757706867,0.6
62,28,101.50366,66.20015,113.50451,55.60666,148.7198,80.29951,147.22862,136.27115,135.83554,137.81303,149.80101,168.95035,123.188965,198.65776,89.463104,184.19563,75.02734,152.64908,12.000847,14.099358,97.04242,2.5723877,0.13836269856236627,0.6
165,147,7.1762824,7.297945,34.321297,43.788437,101.6062,99.28048,98.00016,124.04446,4.2274337,3.0301378,99.23018,147.79665,82.604454,164.49965,55.666996,153.89238,40.58734,127.738625,27.145014,91.98254,83.95019,1.2300186,0.6809635943827959,0.6
95,46,113.443184,69.029755,122.73068,49.306786,124.76373,80.66503,122.05116,112.9845,111.32988,121.67284,129.357,132.29301,115.499756,163.07771,103.49116,157.52724,91.16925,138.49873,9.287498,11.635277,89.19195,7.305832,0.45447800628648816,0.6
90,79,132.84886,71.822754,149.43054,54.750706,172.29536,77.95933,169.10059,117.514824,148.23776,126.782036,169.44896,149.07542,130.53712,166.14485,84.357414,127.387924,70.32036,69.353935,16.58168,6.136574,14.6032295,0.3483734,0.14595618843756042,0.6
44,70,73.977936,79.24161,82.64003,80.55355,154.27853,122.29608,139.1197,141.64877,117.21858,149.70647,153.48676,164.88745,94.131775,180.28424,34.244553,162.60954,21.496466,124.516495,8.662094,43.054474,43.962944,14.36705,0.49405038632796405,0.6
