width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,quality
106,66,79.2889,91.37584,92.176605,70.7884,120.995705,83.436195,113.116806,136.05467,1.2316704,1.1572099,130.01334,163.39929,90.5945,197.3722,62.37129,177.66032,43.619328,142.30362,154.84937,83.375565,2.7319927,1.8376741,102.44317,6.341731,12.887703,-7.939644,71.51522,77.03383,33.85371487734049,16.89653,0.05208464229796306,0.6
159,99,2.505563,3.0048146,1.869104,1.6952624,63.08525,67.91248,73.85245,77.61004,1.3146027,0.831784,93.98346,92.4055,65.01665,152.07355,18.960829,123.31816,16.775438,60.753235,85.94081,46.45979,75.218094,19.737074,75.36049,4.371015,-0.636459,64.90767,59.057972,42.088776,31.34636683893847,20.131012,2.230560862766985,0.6
294,183,33.392704,89.73372,41.37097,67.950485,80.3079,67.58233,77.89917,123.49582,1.0463235,0.8244262,106.484566,156.51219,74.47376,197.69661,43.992424,189.32301,22.954258,149.17615,114.15097,61.423073,1.5663933,1.9968189,2.9412332,2.3206978,7.9782677,-22.15139,81.22566,59.102375,34.39898091318062,28.585396,0.0925871138887171,0.6
138,79,82.61752,115.68765,96.29737,100.774826,108.8242,127.88868,105.85512,161.12311,1.7425226,2.0900435,105.14574,191.22458,84.544266,207.33667,51.67476,168.99876,50.78711,106.44987,145.85695,107.01519,117.94632,51.511177,105.104935,28.96863,13.679848,12.201027,5.675041,78.04656,42.510313900147224,-0.7093811,0.48278827615732345,0.6
111,64,119.928635,114.68937,127.72374,108.81791,155.62785,120.56451,135.68665,167.97348,1.076116,1.1110625,154.05127,189.38895,141.8558,211.83551,104.291084,174.4883,72.82453,108.05999,175.61224,108.494774,153.64105,61.04232,155.77061,27.150108,7.795105,5.8751373,-0.7579193,81.344666,23.34639802292139,18.364624,0.008303085644918662,0.6
112,54,102.10087,116.48718,113.765686,96.63988,122.698425,123.0694,120.10893,153.33322,1.1742764,1.3234017,119.2881,175.63626,103.606606,198.18173,91.04205,189.70529,82.2508,178.2705,140.70152,98.72198,93.569496,40.11191,93.879875,7.3022923,11.664818,6.5822144,81.630615,91.419685,30.28049485660713,-0.8208313,0.24120665364594296,0.6
177,123,1.9474626,2.6815758,1.134604,0.8419663,95.85101,104.70595,91.11362,146.34654,1.3724444,1.3134872,97.01567,175.84763,76.19822,202.08011,59.48741,188.06332,51.04507,161.69618,136.66603,60.746048,76.69718,23.750828,72.88811,8.228057,-0.8128586,102.02437,160.85422,52.51799,59.986152312774145,5.902054,1.7127341325403753,0.6
70,48,42.21897,105.62419,38.124638,85.668564,88.896255,100.02237,76.28545,147.03812,1.3561096,1.6706085,97.720345,162.27061,58.060356,203.15826,26.628704,181.94737,11.506555,147.84323,116.39257,100.72456,92.174576,58.94422,118.40634,36.661915,-4.0943336,-5.601822,62.174667,64.06265,27.505279773662963,21.43489,0.059945468991723594,0.6
162,84,96.74881,65.58125,116.189095,59.88714,120.805115,74.702835,109.73097,100.54677,1.8971133,1.0491539,124.053,123.543015,110.692215,150.64812,67.80326,108.47213,55.53049,46.0605,147.39655,48.369495,1.6772624,1.5244538,2.7045188,2.390242,19.440285,9.121582,-13.826637,45.979256,37.42390898946524,14.322029,0.02559488522066178,0.6
159,84,148.91844,116.69972,162.0253,106.41456,175.97836,116.35278,160.02345,148.7899,1.4918778,1.2818135,175.22728,170.9676,160.51787,204.44186,124.64543,161.12314,112.1947,93.058914,193.5331,98.14438,177.32843,47.517693,175.13771,8.085941,13.106857,-0.3469391,-13.355644,90.05844,25.29258105321938,15.203827,0.19378572763330526,0.6
