Input,Output,Labels
k,k,a
j,j,b
f,f,c
b,b,d
h,j,e
c,c,f
f,f,g
a,a,h
x,x,i
b,b,j
b,b,k
k,k,x
k,k
h,h
i,i
x,x
e,e
i,i
k,k
h,h
g,b
k,f
k,k
j,j
f,f
b,b
g,g
j,k
d,d
d,d
j,j
a,a
i,h
k,k
d,d
e,d
j,j
f,f
c,c
i,i
d,d
e,e
k,k
k,d
d,f
e,e
a,j
a,a
k,k
h,f
a,b
h,i
h,h
i,k
k,k
d,d
j,j
d,d
f,f
c,c
b,b
h,h
a,a
j,j
f,f
i,i
g,g
c,d
k,k
a,a
d,d
h,b
f,f
x,x
e,f
j,k
x,x
a,a
i,a
c,c
c,c
c,i
c,c
a,e
h,h
a,a
e,f
f,f
d,d
g,g
h,h
d,d
e,e
b,b
a,a
f,f
e,j
g,g
f,f
b,a
j,j
b,b
c,c
f,f
a,a
d,d
i,i
a,a
k,k
f,f
j,j
k,k
f,f
i,i
a,a
d,d
b,b
b,a
k,k
h,b
b,b
h,h
f,f
d,d
c,f
d,d
h,h
f,f
g,g
j,j
a,a
a,x
h,h
f,f
k,k
h,i
d,h
c,c
f,f
c,c
a,a
f,e
g,d
e,e
k,j
a,a
d,d
h,b
b,b
e,e
h,h
k,k
b,b
i,i
j,j
e,e
e,e
g,g
e,d
c,c
k,k
j,j
g,f
b,a
a,b
e,f
c,c
c,c
g,g
b,b
a,a
c,c
k,j
d,d
d,i
g,g
h,h
i,i
f,f
g,g
a,a
b,b
a,a
h,h
j,j
a,a
f,f
a,a
h,i
g,g
d,d
d,d
g,g
d,d
e,e
e,f
i,i
a,j
d,d
e,f
x,x
i,i
h,h
f,f
g,g
j,j
b,b
h,h
e,c
x,x
g,g
b,a
g,g
a,a
i,i
c,c
f,f
i,i
c,d
k,k
i,b
j,b
f,f
c,d
j,j
j,j
g,g
j,k
d,i
k,k
a,b
k,k
h,h
i,h
b,b
d,d
k,k
d,d
f,f
h,i
c,c
f,f
d,e
a,a
b,b
e,e
x,x
a,a
b,b
k,i
k,k
f,f
b,b
j,j
g,g
i,i
b,b
c,c
k,k
h,h
e,e
c,c
c,c
a,a
j,e
x,x
k,k
h,h
i,i
k,k
b,b
h,a
d,d
a,a
j,j
c,c
i,i
g,g
a,a
d,d
e,e
g,g
h,h
a,a
b,b
e,e
g,g
i,i
b,i
k,k
c,x
h,j
a,a
c,c
a,a
c,c
e,e
d,d
e,e
e,f
j,j
b,b
f,f
k,k
b,b
g,f
k,k
b,b
d,d
f,f
d,d
f,f
k,k
d,d
x,x
b,b
d,d
f,f
k,k
f,f
h,h
e,f
h,h
g,g
g,g
c,c
i,i
k,k
d,d
b,b
a,a
x,x
h,h
b,b
d,d
b,b
h,j
h,h
x,x
a,j
g,g
f,f
a,f
h,h
i,i
c,c
e,f
a,a
i,i
g,g
g,g
h,h
i,i
e,f
j,j
k,k
i,i
f,f
g,g
c,c
c,c
i,g
g,d
f,f
g,g
h,h
d,c
f,f
g,g
h,i
x,x
c,c
k,i
f,f
i,h
d,d
d,d
j,j
b,b
i,i
g,g
e,e
k,k
j,b
a,a
k,k
j,j
j,j
f,f
e,e
h,h
i,i
e,e
c,c
h,h
f,f
k,k
f,f
h,h
h,e
g,g
b,b
i,h
c,c
k,k
a,a
h,h
j,j
d,d
g,g
h,h
g,g
i,i
j,j
h,h
a,a
j,j
c,c
e,e
h,h
h,h
f,f
c,c
e,f
a,f
g,g
f,f
a,b
e,e
e,i
c,c
e,f
b,b
d,d
i,i
a,a
