Input,Output,Labels
h,h,a
j,j,b
f,f,c
c,c,d
x,x,e
h,h,f
c,c,g
k,k,h
g,g,i
h,h,j
e,e,k
j,j,x
b,b
d,d
f,e
g,e
b,b
c,c
d,d
j,j
e,e
g,g
k,k
h,h
x,x
a,a
c,c
a,a
a,a
g,g
b,b
i,i
h,h
c,c
x,x
x,x
f,e
j,i
d,d
c,c
i,i
j,j
g,g
b,b
d,d
k,k
g,g
a,a
g,g
j,j
d,d
i,i
e,e
d,d
h,h
b,b
i,i
g,g
h,h
b,b
x,x
c,c
j,j
e,e
x,x
f,e
h,h
d,d
c,c
c,c
d,d
x,x
h,h
e,e
a,a
e,e
k,k
f,e
e,e
k,k
d,d
i,i
b,b
x,x
h,h
c,c
d,d
c,c
e,e
e,e
h,h
a,a
h,h
i,i
j,j
a,a
h,h
h,h
d,d
d,d
f,f
k,k
j,j
j,j
h,h
i,i
j,j
b,b
f,e
x,x
e,e
i,i
c,c
k,k
a,a
c,c
b,b
j,j
g,g
f,f
h,h
b,b
c,c
d,d
e,e
k,k
x,x
j,j
x,x
k,k
j,j
c,c
j,j
x,x
f,e
g,g
c,c
a,a
a,a
k,k
j,j
g,g
g,g
c,c
c,c
f,f
k,k
x,x
d,d
a,a
g,g
b,b
k,k
e,e
e,e
b,b
i,i
b,b
e,e
c,c
x,x
b,b
h,h
e,e
c,c
i,i
d,d
a,a
g,g
h,h
j,j
d,d
d,d
e,e
a,a
g,g
c,c
h,h
e,e
g,g
j,j
i,i
f,e
e,e
h,h
i,i
h,h
k,k
a,a
g,g
i,i
h,h
c,c
k,k
c,c
c,c
f,e
g,g
g,g
d,d
x,x
k,k
e,e
j,j
b,b
i,i
b,b
e,e
f,e
i,i
j,j
x,x
k,k
k,k
i,i
a,a
c,c
x,x
d,d
j,j
k,k
x,x
k,k
e,e
f,e
d,d
i,i
f,f
i,i
g,g
f,e
b,b
d,d
b,b
c,c
f,e
f,f
d,d
x,x
k,k
h,h
x,x
h,h
c,c
a,a
c,c
b,b
j,j
g,g
k,k
f,f
f,e
a,a
e,e
g,g
a,a
i,i
c,c
c,c
g,g
j,j
f,f
i,i
g,g
c,c
g,g
e,e
j,j
x,x
j,j
i,i
j,j
j,j
b,b
d,d
k,k
i,i
g,g
e,e
f,f
h,h
b,b
h,h
d,d
a,a
f,f
k,k
j,j
e,e
f,e
g,g
f,e
x,x
a,a
k,k
e,e
d,d
i,i
g,g
g,g
c,c
d,d
b,b
g,e
i,i
i,i
d,d
d,d
j,j
a,a
g,g
x,x
g,g
h,h
h,h
h,h
b,b
d,d
k,k
x,x
c,c
h,h
f,e
i,i
i,i
e,e
g,g
x,x
i,i
j,j
i,i
d,d
g,g
h,h
b,b
i,i
a,a
e,e
j,j
j,j
x,x
x,x
x,x
c,c
k,k
j,j
x,x
i,i
c,c
h,h
h,h
a,a
g,g
h,h
e,e
a,a
e,e
f,e
i,i
f,e
g,g
i,i
x,x
b,b
g,g
g,g
g,g
g,g
c,c
i,i
k,k
c,c
j,j
d,d
b,b
a,a
a,a
c,c
e,e
i,i
f,f
k,k
k,k
j,j
b,b
i,i
k,k
b,b
k,k
e,e
a,a
x,x
i,i
k,k
h,h
k,k
g,g
g,g
j,j
k,k
c,c
b,b
h,h
h,h
i,i
b,b
g,g
f,e
g,g
f,e
i,i
a,a
d,d
j,j
i,i
b,b
g,g
x,x
j,j
h,h
j,j
k,k
c,c
k,k
k,k
k,k
x,x
b,b
f,e
j,j
f,f
k,k
h,h
e,e
