Input,Output,Labels
h,h,a
j,j,b
f,d,c
c,c,d
x,x,e
h,h,f
c,c,g
k,k,h
g,a,i
h,h,j
e,e,k
j,j,x
b,b
d,d
f,f
g,h
b,b
c,c
d,d
j,j
e,k
g,g
k,k
h,h
x,x
a,a
c,c
a,a
a,a
g,g
b,b
i,i
h,h
c,c
x,x
x,x
f,f
j,j
d,d
c,c
i,i
j,j
g,g
b,b
d,d
k,k
g,g
a,a
g,g
j,j
d,d
i,i
e,e
d,d
h,h
b,b
i,i
g,g
h,h
b,b
x,x
c,c
j,j
e,e
x,x
f,f
h,h
d,d
c,c
c,c
d,c
x,x
h,h
e,e
a,a
e,e
k,d
f,f
e,e
k,k
d,d
i,i
b,b
x,x
h,h
c,c
d,d
c,c
e,h
e,e
h,h
a,a
h,h
i,i
j,j
a,a
h,h
h,h
d,d
d,d
f,f
k,k
j,j
j,j
h,g
i,i
j,j
b,b
f,i
x,x
e,e
i,i
c,c
k,k
a,a
c,j
b,b
j,j
g,g
f,e
h,c
b,b
c,c
d,d
e,e
k,k
x,i
j,b
x,x
k,k
j,j
c,c
j,j
x,x
f,f
g,g
c,c
a,a
a,h
k,k
j,j
g,g
g,h
c,c
c,c
f,f
k,k
x,x
d,d
a,a
g,g
b,b
k,k
e,f
e,e
b,b
i,i
b,b
e,e
c,c
x,x
b,b
h,h
e,e
c,c
i,i
d,d
a,a
g,c
h,h
j,j
d,d
d,d
e,e
a,a
g,g
c,c
h,h
e,e
g,g
j,j
i,i
f,d
e,e
h,h
i,i
h,h
k,d
a,a
g,g
i,k
h,h
c,d
k,k
c,c
c,c
f,f
g,g
g,g
d,d
x,x
k,k
e,e
j,j
b,b
i,i
b,h
e,e
f,f
i,i
j,j
x,x
k,k
k,k
i,i
a,a
c,c
x,x
d,c
j,j
k,i
x,x
k,k
e,e
f,f
d,c
i,i
f,f
i,i
g,g
f,f
b,b
d,d
b,b
c,c
f,f
f,f
d,d
x,x
k,k
h,h
x,x
h,h
c,c
a,a
c,c
b,c
j,j
g,g
k,k
f,f
f,f
a,a
e,e
g,g
a,a
i,f
c,c
c,c
g,g
j,j
f,f
i,i
g,g
c,c
g,e
e,f
j,j
x,x
j,j
i,i
j,j
j,j
b,b
d,d
k,k
i,i
g,g
e,e
f,f
h,h
b,b
h,h
d,d
a,a
f,f
k,k
j,j
e,e
f,f
g,g
f,f
x,x
a,a
k,k
e,e
d,d
i,i
g,g
g,g
c,c
d,d
b,b
g,h
i,i
i,i
d,d
d,j
j,j
a,a
g,g
x,x
g,g
h,c
h,h
h,h
b,b
d,d
k,k
x,x
c,c
h,j
f,e
i,i
i,i
e,e
g,g
x,x
i,k
j,j
i,i
d,d
g,g
h,h
b,b
i,i
a,a
e,e
j,j
j,j
x,x
x,x
x,x
c,c
k,i
j,j
x,x
i,i
c,c
h,h
h,h
a,a
g,g
h,h
e,e
a,a
e,e
f,f
i,i
f,f
g,g
i,i
x,x
b,b
g,g
g,g
g,g
g,g
c,c
i,i
k,k
c,c
j,j
d,d
b,b
a,a
a,a
c,c
e,c
i,i
f,f
k,j
k,k
j,j
b,b
i,i
k,k
b,b
k,k
e,e
a,a
x,x
i,i
k,k
h,h
k,j
g,b
g,g
j,g
k,k
c,c
b,b
h,h
h,h
i,i
b,b
g,j
f,f
g,g
f,f
i,i
a,a
d,d
j,a
i,i
b,b
g,g
x,x
j,h
h,h
j,j
k,k
c,c
k,k
k,k
k,k
x,x
b,b
f,f
j,h
f,f
k,k
h,h
e,e
