Input,Output,Labels
b,b,a
k,k,b
j,j,c
d,d,d
c,c,e
k,i,f
g,g,g
k,k,h
x,x,i
i,h,j
e,e,k
h,h,x
f,f
d,d
f,f
a,a
d,c
k,k
d,c
c,c
a,b
j,j
h,b
f,f
b,b
i,i
k,i
a,a
i,i
b,b
c,c
f,f
h,h
c,c
g,g
k,k
i,i
e,e
e,e
i,h
k,i
a,h
d,d
k,k
d,c
h,h
f,f
b,b
i,i
k,k
a,a
g,g
k,k
a,a
k,k
h,h
f,f
f,f
c,c
h,i
b,b
f,d
e,e
d,d
h,h
j,k
e,d
g,g
h,h
a,a
d,d
k,k
j,h
d,d
d,d
b,b
d,d
a,a
k,k
b,f
f,f
c,e
g,g
b,b
d,d
a,a
e,e
k,k
b,b
g,g
g,g
k,i
k,k
k,f
j,j
x,x
d,e
k,d
e,e
h,h
k,k
g,g
k,i
g,g
h,h
k,k
c,c
h,h
x,x
x,c
f,i
j,k
e,e
c,c
c,c
a,a
i,i
j,j
i,i
k,k
b,b
h,h
b,b
j,h
e,e
a,a
j,j
c,c
f,f
i,i
a,a
e,e
g,g
e,e
k,i
j,h
c,c
a,a
h,h
e,e
e,e
k,k
c,c
b,b
c,c
a,a
d,c
k,k
c,c
c,c
d,d
a,a
i,i
k,k
b,b
x,f
k,k
b,b
i,i
k,e
h,h
g,g
d,d
e,e
g,g
c,e
i,h
d,d
k,k
g,g
c,c
j,j
e,e
e,e
e,f
k,k
f,d
a,a
j,j
i,j
b,b
f,f
g,g
d,g
a,a
k,k
d,d
i,g
x,x
a,a
g,g
f,f
k,i
b,b
j,b
k,i
k,k
b,b
d,d
c,c
h,h
a,a
k,i
c,c
c,c
c,c
d,d
e,e
d,c
b,b
h,h
e,e
e,e
a,a
j,j
i,i
j,k
f,f
a,a
b,b
e,f
d,d
j,k
b,b
d,d
g,g
i,i
f,f
f,f
g,g
c,c
h,h
i,i
i,i
i,k
c,c
d,d
j,j
j,j
h,h
b,b
h,h
f,f
g,g
b,b
i,k
g,g
x,x
e,e
j,j
f,f
f,f
j,j
i,i
h,h
i,i
a,a
j,j
j,j
j,j
c,c
h,h
h,h
k,i
d,d
a,a
x,x
a,a
a,a
k,k
c,c
i,i
a,a
a,a
g,g
i,i
g,g
f,f
h,h
c,c
k,j
c,c
j,j
d,d
j,j
i,i
g,f
k,k
k,k
b,b
c,d
f,f
a,a
a,a
b,a
h,h
f,f
j,j
g,g
d,d
b,b
g,g
g,g
i,i
j,h
i,i
k,k
g,g
e,e
b,c
j,k
e,e
k,k
d,d
a,a
e,f
k,k
h,h
c,c
c,c
h,h
b,b
i,i
f,f
a,a
h,h
h,h
i,i
j,j
e,a
a,b
i,i
g,g
b,b
c,c
i,i
e,e
i,i
i,i
a,a
h,h
c,c
b,b
j,g
k,k
k,k
h,h
e,e
d,d
a,a
f,f
f,f
d,d
j,j
j,j
d,d
c,c
d,d
f,f
h,h
k,k
h,h
h,h
h,h
d,d
f,d
j,j
i,i
h,h
f,f
g,g
k,e
j,j
k,k
f,i
f,f
k,k
h,h
j,h
a,a
f,f
a,a
a,a
k,j
f,f
d,d
j,j
d,c
g,g
e,e
i,i
g,g
a,a
j,j
d,d
e,e
d,d
e,f
g,g
f,f
j,j
h,h
h,h
k,k
e,e
g,g
b,b
e,e
b,b
h,h
f,f
i,i
c,c
i,h
x,x
g,g
g,g
f,f
f,f
c,c
b,a
c,c
c,d
a,a
c,c
f,f
i,i
k,j
d,d
h,h
k,k
i,i
k,k
f,f
h,h
g,g
x,c
f,f
g,g
g,g
j,j
e,e
f,c
c,c
j,j
d,d
f,e
g,g
f,f
k,k
g,g
