Input,Output,Labels
b,b,a
k,k,b
j,j,c
d,d,d
c,c,e
k,k,f
g,g,g
k,k,h
x,x,i
i,i,j
e,e,k
h,h,x
f,f
d,d
f,f
a,a
d,d
k,k
d,d
c,c
a,a
j,j
h,h
f,f
b,b
i,i
k,k
a,a
i,i
b,b
c,c
f,f
h,h
c,c
g,g
k,k
i,i
e,e
e,e
i,i
k,k
a,a
d,d
k,k
d,d
h,i
f,f
b,b
i,i
k,k
a,a
g,g
k,k
a,a
k,k
h,g
f,f
f,f
c,c
h,g
b,b
f,f
e,e
d,d
h,h
j,j
e,e
g,g
h,h
a,a
d,d
k,k
j,j
d,d
d,d
b,b
d,d
a,a
k,k
b,b
f,f
c,c
g,g
b,b
d,d
a,a
e,e
k,k
b,b
g,g
g,g
k,k
k,k
k,k
j,j
x,e
d,d
k,k
e,e
h,h
k,k
g,g
k,k
g,g
h,h
k,k
c,c
h,h
x,x
x,x
f,f
j,j
e,e
c,c
c,c
a,a
i,i
j,j
i,i
k,k
b,a
h,h
b,b
j,j
e,e
a,a
j,j
c,c
f,f
i,i
a,a
e,e
g,g
e,e
k,k
j,j
c,c
a,a
h,h
e,e
e,e
k,k
c,c
b,b
c,c
a,a
d,d
k,k
c,c
c,c
d,d
a,a
i,i
k,k
b,b
x,x
k,k
b,b
i,i
k,k
h,h
g,g
d,d
e,e
g,g
c,c
i,i
d,d
k,k
g,g
c,c
j,j
e,e
e,e
e,e
k,k
f,f
a,a
j,j
i,i
b,b
f,f
g,g
d,d
a,a
k,k
d,d
i,g
x,x
a,a
g,g
f,f
k,k
b,b
j,j
k,k
k,k
b,b
d,d
c,c
h,h
a,a
k,k
c,c
c,c
c,c
d,d
e,e
d,d
b,b
h,h
e,e
e,e
a,a
j,j
i,i
j,j
f,f
a,a
b,b
e,e
d,d
j,j
b,b
d,d
g,g
i,i
f,f
f,f
g,g
c,c
h,h
i,i
i,i
i,i
c,c
d,d
j,j
j,j
h,h
b,b
h,h
f,f
g,g
b,b
i,i
g,g
x,x
e,e
j,j
f,f
f,f
j,j
i,i
h,h
i,i
a,a
j,j
j,j
j,j
c,c
h,h
h,h
k,k
d,d
a,a
x,x
a,a
a,a
k,k
c,c
i,i
a,a
a,a
g,g
i,i
g,g
f,f
h,h
c,c
k,k
c,c
j,j
d,d
j,j
i,i
g,g
k,j
k,k
b,g
c,c
f,f
a,a
a,a
b,b
h,h
f,f
j,j
g,g
d,d
b,a
g,g
g,g
i,i
j,j
i,i
k,k
g,g
e,e
b,a
j,j
e,e
k,k
d,d
a,a
e,e
k,k
h,h
c,c
c,c
h,h
b,b
i,i
f,f
a,a
h,h
h,h
i,i
j,j
e,e
a,a
i,i
g,g
b,b
c,c
i,i
e,e
i,i
i,i
a,a
h,h
c,c
b,a
j,j
k,k
k,k
h,h
e,j
d,d
a,a
f,f
f,f
d,d
j,j
j,j
d,d
c,c
d,d
f,f
h,h
k,k
h,h
h,h
h,h
d,d
f,f
j,j
i,i
h,h
f,f
g,g
k,k
j,j
k,k
f,e
f,f
k,k
h,h
j,j
a,a
f,e
a,a
a,a
k,f
f,f
d,d
j,a
d,d
g,g
e,e
i,i
g,g
a,a
j,j
d,d
e,e
d,d
e,e
g,g
f,f
j,j
h,h
h,i
k,k
e,e
g,g
b,b
e,e
b,b
h,h
f,f
i,i
c,c
i,i
x,x
g,g
g,g
f,f
f,f
c,c
b,b
c,c
c,c
a,a
c,c
f,f
i,i
k,k
d,d
h,h
k,k
i,i
k,k
f,f
h,h
g,g
x,x
f,f
g,g
g,g
j,j
e,e
f,f
c,c
j,j
d,d
f,f
g,g
f,f
k,k
g,g
