epoch,training acc.,training loss,val. acc.,val. loss
1,0.28,1.5338,0.2671,1.3516
2,0.3305,1.356,0.3729,1.2988
3,0.3708,1.3037,0.3743,1.2991
4,0.4063,1.2444,0.3986,1.2464
5,0.4711,1.1676,0.4871,1.1774
6,0.5148,1.074,0.5457,1.0916
7,0.5754,0.9757,0.5443,1.0679
8,0.6384,0.862,0.5957,1.0515
9,0.69,0.7542,0.6371,0.9919
10,0.7354,0.657,0.6643,0.9772
11,0.7717,0.5818,0.6214,1.2021
12,0.8084,0.4944,0.6557,1.0953
13,0.8268,0.4548,0.6586,1.0691
14,0.8476,0.417,0.5657,1.5782
15,0.8641,0.3608,0.7843,0.8183
16,0.8938,0.293,0.7014,1.0164
17,0.9075,0.271,0.7871,0.884
18,0.909,0.2604,0.7843,0.9129
19,0.9256,0.2244,0.8029,0.8353
20,0.9287,0.2209,0.8057,0.909
21,0.9462,0.1715,0.8057,0.9782
22,0.9357,0.1947,0.7357,1.2541
23,0.9462,0.16,0.8157,0.9382
24,0.9602,0.1294,0.7371,1.4821
25,0.9527,0.1527,0.8214,0.9483
26,0.9568,0.1305,0.8057,1.0399
27,0.9571,0.1364,0.83,0.8705
28,0.959,0.1397,0.8357,0.9559
29,0.9692,0.1041,0.7643,1.2374
30,0.9595,0.1233,0.8471,0.8754
