epoch,training acc.,training loss,val. acc.,val. loss
1,0.2821,1.5171,0.31,1.3673
2,0.3159,1.3706,0.3471,1.385
3,0.3611,1.3239,0.3843,1.3241
4,0.403,1.2742,0.3543,1.3274
5,0.4571,1.1941,0.3957,1.2761
6,0.5305,1.079,0.45,1.1767
7,0.6087,0.9381,0.5057,1.1169
8,0.666,0.8179,0.5829,0.97
9,0.7248,0.6793,0.6714,0.8288
10,0.7663,0.5792,0.7414,0.7692
11,0.8057,0.4935,0.7129,0.8431
12,0.8375,0.4166,0.6543,1.0728
13,0.8544,0.3884,0.7443,0.8499
14,0.8733,0.3432,0.7729,0.769
15,0.8778,0.3292,0.72,0.9449
16,0.8967,0.2829,0.7429,0.8699
17,0.9094,0.2422,0.75,1.0296
18,0.9221,0.2196,0.73,1.1637
19,0.9184,0.2414,0.7914,0.9207
20,0.9363,0.1787,0.7671,1.1775
21,0.9244,0.2098,0.8114,0.8298
22,0.9419,0.179,0.8129,0.9613
23,0.9468,0.1595,0.8243,1.0173
24,0.9416,0.1811,0.81,0.7601
25,0.9519,0.1463,0.81,0.7877
26,0.967,0.1146,0.77,1.1322
27,0.9554,0.1348,0.8614,0.7061
28,0.967,0.1038,0.8414,0.8145
29,0.9643,0.11,0.8029,1.0692
30,0.9663,0.1072,0.8643,0.8183
