epoch,training acc.,training loss,val. acc.,val. loss
1,0.2732,1.5152,0.29,1.397
2,0.3032,1.3716,0.34,1.3308
3,0.3463,1.3207,0.3557,1.3174
4,0.3944,1.2683,0.3929,1.2681
5,0.4529,1.1849,0.4614,1.1971
6,0.5176,1.081,0.4571,1.2505
7,0.5914,0.9601,0.4571,1.3179
8,0.6425,0.8438,0.5429,1.1994
9,0.7,0.7333,0.5529,1.236
10,0.7598,0.6224,0.6486,1.0372
11,0.793,0.5345,0.6529,1.1066
12,0.8163,0.4742,0.6929,0.9937
13,0.8416,0.4331,0.7243,1.0129
14,0.8548,0.4024,0.66,1.2715
15,0.8829,0.3231,0.7271,1.1534
16,0.8805,0.3261,0.71,1.2816
17,0.8994,0.2955,0.7186,1.091
18,0.9151,0.2525,0.7486,1.2522
19,0.9225,0.2182,0.7357,1.3017
20,0.9229,0.2268,0.7743,0.9971
21,0.944,0.188,0.76,1.0813
22,0.9359,0.1938,0.7086,1.359
23,0.9427,0.1775,0.7914,0.9413
24,0.9463,0.1724,0.7929,0.9115
25,0.9579,0.1386,0.7757,1.1404
26,0.9449,0.1729,0.8086,0.9085
27,0.9678,0.1035,0.7814,1.1449
28,0.9552,0.1411,0.78,1.1713
29,0.9678,0.1067,0.7957,1.0821
30,0.9641,0.1211,0.8214,0.919
