epoch,training acc.,training loss,val. acc.,val. loss
1,0.3456,1.5683,0.3943,1.2826
2,0.5054,1.1367,0.5314,1.0991
3,0.6411,0.8626,0.6343,0.9345
4,0.7843,0.5472,0.7129,0.8038
5,0.8643,0.373,0.7571,0.7095
6,0.9175,0.241,0.8086,0.5696
7,0.9398,0.177,0.8271,0.507
8,0.9594,0.1315,0.84,0.5549
9,0.9581,0.1234,0.8386,0.5512
10,0.9705,0.094,0.8357,0.5978
11,0.9675,0.1097,0.8457,0.5088
12,0.9713,0.0884,0.8714,0.4913
13,0.9749,0.0873,0.8843,0.4774
14,0.9797,0.0662,0.8443,0.5715
15,0.9848,0.0488,0.8571,0.44
16,0.9827,0.052,0.8529,0.5093
17,0.9776,0.0678,0.8857,0.4895
18,0.9803,0.0559,0.9229,0.3354
