epoch,training acc.,training loss,val. acc.,val. loss
1,0.3492,1.5277,0.3871,1.2813
2,0.5206,1.106,0.4943,1.0927
3,0.6819,0.7919,0.6729,0.8134
4,0.7941,0.5347,0.7386,0.7006
5,0.873,0.3476,0.7271,0.744
6,0.9084,0.2666,0.8057,0.564
7,0.9349,0.2006,0.7857,0.6761
8,0.9575,0.1357,0.84,0.5093
9,0.9581,0.1276,0.8314,0.612
10,0.9657,0.1081,0.8671,0.4358
11,0.976,0.0849,0.8857,0.402
12,0.9732,0.0849,0.8486,0.5492
13,0.966,0.1021,0.8971,0.3904
14,0.9627,0.1164,0.8486,0.4723
15,0.9822,0.0568,0.8914,0.4215
16,0.984,0.0483,0.8014,0.7752
17,0.9725,0.0827,0.8914,0.4373
18,0.9833,0.0546,0.9257,0.3281
