epoch,training acc.,training loss,val. acc.,val. loss
1,0.3727,1.5166,0.4271,1.2537
2,0.589,0.9685,0.5914,0.9762
3,0.7781,0.5859,0.7614,0.6116
4,0.8875,0.3148,0.8129,0.5466
5,0.9357,0.1946,0.8629,0.4171
6,0.9438,0.172,0.8629,0.3935
7,0.9567,0.1321,0.8557,0.4878
8,0.971,0.0897,0.9014,0.3054
9,0.9824,0.0633,0.8914,0.3688
10,0.9571,0.1288,0.8586,0.5123
11,0.981,0.0669,0.9057,0.2683
12,0.9905,0.0325,0.89,0.4374
13,0.9717,0.0819,0.9043,0.362
14,0.984,0.0514,0.9214,0.253
15,0.9737,0.0851,0.8829,0.4549
16,0.9757,0.0743,0.9029,0.2794
17,0.9895,0.0367,0.9557,0.1533
18,0.9956,0.0176,0.9643,0.1248
