epoch,training acc.,training loss,val. acc.,val. loss
1,0.3279,1.5177,0.3929,1.3088
2,0.4741,1.2005,0.5,1.138
3,0.621,0.9365,0.6629,0.8616
4,0.7546,0.6443,0.7143,0.703
5,0.8527,0.4112,0.7743,0.6185
6,0.9054,0.2756,0.8186,0.4967
7,0.9281,0.2073,0.7871,0.6343
8,0.9495,0.157,0.8843,0.3663
9,0.9671,0.1055,0.8471,0.4706
10,0.9625,0.1197,0.8614,0.4175
11,0.9708,0.0891,0.84,0.5057
12,0.9671,0.0959,0.8843,0.4026
13,0.9756,0.0719,0.8729,0.4326
14,0.9775,0.0651,0.8943,0.3726
15,0.9759,0.0763,0.8829,0.3571
16,0.9797,0.0625,0.9243,0.2888
17,0.9868,0.0436,0.89,0.383
18,0.9746,0.0749,0.8814,0.3575
