epoch,training acc.,training loss,val. acc.,val. loss
1,0.3575,1.4837,0.4157,1.2196
2,0.5329,1.0859,0.56,0.9957
3,0.7071,0.7508,0.6943,0.7733
4,0.8424,0.4474,0.78,0.632
5,0.9002,0.2956,0.8457,0.4792
6,0.9362,0.187,0.87,0.4188
7,0.9473,0.1549,0.8843,0.4346
8,0.9622,0.1164,0.8714,0.4476
9,0.9652,0.1124,0.8886,0.3881
10,0.971,0.0869,0.8943,0.3828
11,0.961,0.1162,0.8686,0.4463
12,0.9717,0.0918,0.9171,0.2934
13,0.9762,0.0691,0.9057,0.2996
14,0.9787,0.0631,0.9071,0.3373
15,0.9808,0.0584,0.8929,0.359
16,0.9729,0.0764,0.8486,0.5503
17,0.9781,0.0628,0.9286,0.2015
18,0.9887,0.0309,0.9586,0.1852
